parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,49
iterations,100,100,50,30,40,20,60,70,80,50,50,50,30,10,50,50,50,50,50,50,50,50
second_best_index,,,,,,,,,,,,,,,,,,,,,,
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
max_depth,"(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)"
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,"(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(8.0, 19.0)","(12.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)"
max_bin,"(100, 1200)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)"
subsample,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,"(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')"
subsample_for_bin,"(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)"
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
n_estimators,"(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)"
reg_alpha,"(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 6.0, 'uniform')","(1.0, 4.5, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.5, 'uniform')","(0.0, 5.5, 'uniform')","(2.0, 5.5, 'uniform')","(3.0, 6.0, 'uniform')","(2.0, 5.5, 'uniform')","(2.0, 5.5, 'uniform')","(2.0, 5.5, 'uniform')","(2.0, 5.5, 'uniform')"
