parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8
cv,5,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision
num_col,98,98,98,98,98,98,98,98
iterations,10,10,10,10,10,10,100,100
second_best_index,,,,,,,,
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
max_depth,"(5, 60)","(5, 60)",[-1],"(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)"
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,"(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)"
max_bin,"(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)"
subsample,"(0.3, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,"(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')"
subsample_for_bin,"(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)"
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
n_estimators,"(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)"
reg_alpha,"(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(4.0, 7.0, 'uniform')","(3.0, 7.0, 'uniform')","(3.0, 7.0, 'uniform')","(1.0, 5.0, 'uniform')"
reg_lambda,"(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
