parameter,value1,value2,value3,value4,value5
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,
colsample_bytree,0.9332036588535947,0.49898437007873314,0.9332036588535947,0.9332036588535947,0.49898437007873314
importance_type,split,split,split,split,split
learning_rate,0.0011847240811834723,0.0003304939642148201,0.0011847240811834723,0.0011847240811834723,0.0003304939642148201
max_depth,18,29,18,18,29
min_child_samples,16,19,16,16,19
min_child_weight,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0
n_estimators,2119,2565,2119,2119,2565
n_jobs,-1,-1,-1,-1,-1
num_leaves,10,7,10,10,7
objective,binary,binary,binary,binary,binary
random_state,,,,,
reg_alpha,0.6000000000000001,1.2000000000000002,0.4,0.4,1.3
reg_lambda,2.4000000000000004,0.2,1.8,1.6,0.1
silent,warn,warn,warn,warn,warn
subsample,0.6684947525293031,0.5597576125719046,0.6684947525293031,0.6684947525293031,0.5597576125719046
subsample_for_bin,373099,439614,373099,373099,439614
subsample_freq,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1
boost_from_average,False,True,False,False,True
force_col_wise,true,true,true,true,true
max_bin,266,120,266,266,120
scale_pos_weight,0.30000000000000004,0.7000000000000002,0.30000000000000004,0.30000000000000004,0.7000000000000002
cv,5,5,5,5,5
scoring,precision,precision,precision,precision,precision
num_col,110,110,110,110,110
iterations,10,10,10,10,10
best_score,0.77,0.7425396825396826,0.72,0.73,0.7425396825396826
best_index,0.0,7.0,0.0,0.0,7.0
acc_train,0.75,0.8020833333333334,0.7552083333333334,0.765625,0.8020833333333334
acc_val,0.625,0.625,0.625,0.625,0.625
acc_test,0.48333333333333334,0.5166666666666667,0.5,0.5,0.5166666666666667
precision,1.0,0.75,1.0,1.0,0.75
recall,0.11428571428571428,0.2571428571428571,0.14285714285714285,0.14285714285714285,0.2571428571428571
f1score,0.20512820512820512,0.3829787234042553,0.25,0.25,0.3829787234042553
roc,0.5571428571428572,0.5685714285714286,0.5714285714285714,0.5714285714285714,0.5685714285714286
tn,25.0,22.0,25.0,25.0,22.0
fp,0.0,3.0,0.0,0.0,3.0
fn,31.0,26.0,30.0,30.0,26.0
tp,4.0,9.0,5.0,5.0,9.0
acc_test1,0.45,0.6,0.5,0.5,0.6
precision1,1.0,1.0,1.0,1.0,1.0
recall1,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333
f1score1,0.15384615384615385,0.5,0.2857142857142857,0.2857142857142857,0.5
roc1,0.5416666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.6666666666666666
tn1,8.0,8.0,8.0,8.0,8.0
fp1,0.0,0.0,0.0,0.0,0.0
fn1,11.0,8.0,10.0,10.0,8.0
tp1,1.0,4.0,2.0,2.0,4.0
acc_test2,0.6,0.55,0.6,0.6,0.55
precision2,1.0,0.5714285714285714,1.0,1.0,0.5714285714285714
recall2,0.2,0.4,0.2,0.2,0.4
f1score2,0.33333333333333337,0.47058823529411764,0.33333333333333337,0.33333333333333337,0.47058823529411764
roc2,0.6,0.5499999999999999,0.6,0.6,0.5499999999999999
tn2,10.0,7.0,10.0,10.0,7.0
fp2,0.0,3.0,0.0,0.0,3.0
fn2,8.0,6.0,8.0,8.0,6.0
tp2,2.0,4.0,2.0,2.0,4.0
acc_test3,0.4,0.4,0.4,0.4,0.4
precision3,1.0,1.0,1.0,1.0,1.0
recall3,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
f1score3,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288
roc3,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
tn3,7.0,7.0,7.0,7.0,7.0
fp3,0.0,0.0,0.0,0.0,0.0
fn3,12.0,12.0,12.0,12.0,12.0
tp3,1.0,1.0,1.0,1.0,1.0
