parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13
cv,5,5,5,5,5,5,5,5,5,5,5,5,5
iterations,50,50,40,30,30,2,50,25,25,25,50,40,30
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,True,True,True,True,True,False,True,True,False,True,False,False,True
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,dart,dart,gbdt
class_weight,,,,,,,,,,,,,
colsample_bytree,0.6870952646221306,0.5148017170612811,0.5148017170612811,0.5148017170612811,0.6202963223083705,0.5238647627931986,0.5666988836617151,0.6202963223083705,0.7409089594157816,0.5109172973343936,0.6649982279496998,0.6649982279496998,0.7777491736017885
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0001496840381040891,0.00014344009800306407,0.00014344009800306407,0.00014344009800306407,0.000143853984155306,0.000702389009147091,0.0001,0.000143853984155306,0.00033934240767791906,0.0001,0.003919946996788288,0.003919946996788288,0.00042523900642213664
max_bin,100,384,384,384,156,100,608,156,459,669,260,260,1000
max_depth,24,22,22,22,22,39,20,22,13,14,22,22,36
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,34,40,40,40,39,31,39,39,5,5,5,5,5
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.971186152239252,4.971186152239252,5.970749399863091
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3905,3435,3435,3435,3078,1563,3522,3078,2299,5000,700,700,5000
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,20,20,20,20,23,11,25,23,4,6,11,11,3
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.9662044556342132,1.0208384969772457,1.0208384969772457,1.0208384969772457,0.9109583375682111,1.1550198526479492,0.8882798105005751,0.9109583375682111,1.4656219926731697,0.0,0.9086324112283071,0.9086324112283071,0.17989188014260976
reg_lambda,2.5893426437738922,3.6236248915929092,3.6236248915929092,3.6236248915929092,2.713683316713074,1.929895365459191,2.947048299713806,2.713683316713074,0.0,1.0598854460912344,0.0,0.0,3.338311323964734
scale_pos_weight,0.4835131617182037,0.46940628919876437,0.46940628919876437,0.46940628919876437,0.4748055644670135,0.5763674348829664,0.4916389503178878,0.4748055644670135,0.2,0.6834779739495481,0.30480717939134216,0.30480717939134216,0.3614483288369859
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.10146264914588654,0.005,0.005,0.005,0.005,0.18169472985912266,0.673026411559742,0.005,0.3878190137684559,1.0,0.9156721153249479,0.9156721153249479,1.0
subsample_for_bin,388155,324227,324227,324227,363806,348748,145489,363806,443206,195463,362187,362187,358142
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.78989898989899,0.8037878787878789,0.8037878787878789,0.8037878787878789,0.7777777777777778,0.7463888888888889,0.8083333333333333,0.7777777777777778,0.8,0.7166666666666666,0.8055555555555556,0.8055555555555556,0.8025974025974026
best_index,31.0,15.0,15.0,15.0,23.0,0.0,42.0,23.0,22.0,23.0,38.0,38.0,22.0
acc_train,0.7054263565891473,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7674418604651163,0.6705426356589147,0.6666666666666666,0.6317829457364341,0.7984496124031008,0.6356589147286822,0.6356589147286822,0.6782945736434108
