parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41,iter_42,iter_43
boost_from_average,True,True,False,False,True,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,True,True,True
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,dart,dart,gbdt,dart,dart,dart,gbdt,dart,gbdt,gbdt,gbdt,gbdt,dart,dart,dart,dart,dart,gbdt,gbdt,dart,dart,dart,gbdt,dart,dart,dart,gbdt,gbdt,dart,dart,dart,dart,dart
class_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')"
colsample_bytree,0.5,0.9503839976655961,0.5416617785594587,0.4,0.4177653409737462,0.9779826477970511,0.43399419356421304,0.4,0.6978800221580301,0.4769367114080139,0.4,0.4,0.582046065930505,1.0,1.0,1.0,0.582046065930505,0.9490327253398888,0.5854507689139811,0.4,0.582046065930505,0.582046065930505,0.7159721422766154,0.7159721422766154,0.7159721422766154,0.7159721422766154,0.7159721422766154,0.8447696466208163,0.8447696466208163,0.7588282465072769,0.7588282465072769,0.7588282465072769,0.8447696466208163,0.7588282465072769,0.7588282465072769,0.7588282465072769,0.8447696466208163,0.8447696466208163,0.8502585304219131,0.7588282465072769,0.7588282465072769,0.7588282465072769,0.7588282465072769
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
iterations,50,50,50,50,50,50,50,50,50,50,50,50,10,20,30,15,13,14,14,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,5,5,5,5
iterations,50,50,50,50,50,50,50,50,50,50,50,50,10,20,30,15,13,14,14,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,5,5,5,5
learning_rate,0.0001373660250029468,0.0001,0.0020432041778164684,0.004,0.0001,0.004,0.002183384183882405,0.0001,0.00012075930993151261,0.00042996646800918755,0.004,0.001230337203646056,0.0001258430018789339,0.004,0.004,0.004,0.0001258430018789339,0.0027072555160050638,0.00017890331754698253,0.0001,0.0001258430018789339,0.0001258430018789339,0.001408402929729096,0.001408402929729096,0.001408402929729096,0.001408402929729096,0.001408402929729096,0.0002754924290896607,0.0002754924290896607,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.0002754924290896607,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.0002754924290896607,0.0002754924290896607,0.0016792624429012022,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,594,260,264,670,100,1116,239,100,728,534,1200,471,252,1200,1200,1200,252,847,300,1200,252,252,567,567,567,567,567,444,444,931,931,931,444,931,931,931,444,444,1011,931,931,931,931
max_bin,"(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)"
max_depth,"(0, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)"
max_depth,0,49,20,5,21,50,5,60,6,5,17,13,24,5,5,5,24,5,28,5,24,24,41,41,41,41,41,13,13,53,53,53,13,53,53,53,13,13,5,53,53,53,53
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,35,13,21,5,28,5,16,33,34,27,40,9,38,40,40,40,38,40,32,5,38,38,28,28,28,28,28,33,33,19,19,19,33,19,19,19,33,33,32,19,19,19,19
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,"(0.001, 5.0)","(2.0, 5.0)","(2.0, 5.0)",,,,"(2.0, 5.0)","(2.0, 5.0)","(2.0, 5.0)",,,,,,,,,,,,"(2.0, 5.0)","(2.0, 5.0)","(2.0, 10.0)","(2.0, 10.0)","(2.0, 10.0)","(2.0, 10.0)","(2.0, 10.0)","(2.0, 15.0)","(2.0, 15.0)","(2.0, 20.0)","(2.0, 20.0)","(2.0, 20.0)","(2.0, 20.0)","(2.0, 25.0)","(10.0, 25.0)","(5.0, 20.0)","(2.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 21.0)"
min_child_weight,2.501417965167189,3.888261885368206,5.0,0.001,0.001,0.001,2.4188059264124364,5.0,3.102341836959971,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.88970319944357,3.88970319944357,6.103903595928438,6.103903595928438,6.103903595928438,6.103903595928438,6.103903595928438,11.793177468661398,11.793177468661398,8.148723357847457,8.148723357847457,8.148723357847457,15.559784187377321,9.85670206836064,15.123936131539548,10.123936131539548,15.559784187377321,15.313105531120506,6.696480354297977,7.490319099950093,7.490319099950093,7.490319099950093,7.83191484205273
