parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.9904336223822104
importance_type,split
learning_rate,0.00017770302621086651
max_depth,49
min_child_samples,18
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2955
n_jobs,-1
num_leaves,7
objective,binary
random_state,
reg_alpha,0.4
reg_lambda,0.9
silent,warn
subsample,0.5463501497345401
subsample_for_bin,379771
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,256
scale_pos_weight,0.4000000000000001
cv,5
scoring,precision
num_col,110
iterations,20
best_score,0.759047619047619
best_index,13.0
acc_train,0.6927083333333334
acc_val,0.6041666666666666
acc_test,0.48333333333333334
precision,0.8333333333333334
recall,0.14285714285714285
f1score,0.2439024390243902
roc,0.5514285714285714
tn,24.0
fp,1.0
fn,30.0
tp,5.0
acc_test1,0.5
precision1,1.0
recall1,0.16666666666666666
f1score1,0.2857142857142857
roc1,0.5833333333333334
tn1,8.0
fp1,0.0
fn1,10.0
tp1,2.0
acc_test2,0.55
precision2,0.6666666666666666
recall2,0.2
f1score2,0.30769230769230765
roc2,0.55
tn2,9.0
fp2,1.0
fn2,8.0
tp2,2.0
acc_test3,0.4
precision3,1.0
recall3,0.07692307692307693
f1score3,0.14285714285714288
roc3,0.5384615384615384
tn3,7.0
fp3,0.0
fn3,12.0
tp3,1.0
