parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,dart,dart,dart,dart,dart,dart,dart,dart,gbdt,dart,dart,gbdt,gbdt,dart,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,dart,dart
class_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colsample_bytree,"(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.3, 1.0, 'uniform')","(0.3, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')"
colsample_bytree,0.7588282465072769,0.7588282465072769,0.7588282465072769,0.7588282465072769,0.7588282465072769,0.7588282465072769,0.7186329542584896,0.9043095303433244,0.8772445740600754,0.7801253370495692,0.4,0.8876570310760983,0.8245482523465593,1.0,0.5794266971547898,0.520318053514056,0.577095509323982,0.8447696466208163,0.5248102132217052,0.5248102132217052,0.8506835980819263,0.4,0.9206097621154797,0.7588282465072769,0.6154137591528424,0.582046065930505,0.6154137591528424,0.6154137591528424,0.7588282465072769,0.6154137591528424,0.6154137591528424,0.6154137591528424,0.6154137591528424,0.6154137591528424,0.7588282465072769,0.7588282465072769
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
iterations,5,5,5,5,10,5,5,50,50,50,50,50,50,50,50,50,50,10,15,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10
iterations,5,5,5,5,10,5,5,50,50,50,50,50,50,50,50,50,50,10,15,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10
learning_rate,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.00014220821962091613,0.0017275674561721527,0.004,0.0010471594238249855,0.0006290237689011135,0.0031713699636451813,0.001268288036502496,0.0002639537587533813,0.004,0.0007231289154055831,0.0005412245399798441,0.0002754924290896607,0.0018233043714804256,0.0018233043714804256,0.002956165169746388,0.004,0.002461092277687077,0.00014220821962091613,0.0008966376442750347,0.0001258430018789339,0.0008966376442750347,0.0008966376442750347,0.00014220821962091613,0.0008966376442750347,0.0008966376442750347,0.0008966376442750347,0.0008966376442750347,0.0008966376442750347,0.00014220821962091613,0.00014220821962091613
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,931,931,931,931,931,931,931,916,100,537,170,1166,136,825,305,1200,1041,444,100,100,777,1200,186,931,814,252,814,814,931,814,814,814,814,814,931,931
max_bin,"(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)"
max_depth,53,53,53,53,53,53,53,32,38,58,15,38,5,57,29,52,38,13,10,10,51,60,38,53,28,24,28,28,53,28,28,28,28,28,53,53
max_depth,"(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)"
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,19,19,19,19,19,19,19,31,33,30,9,26,28,26,13,18,25,33,40,40,30,22,26,19,27,38,27,27,19,27,27,27,27,27,19,19
