parameter,iter_1
cv,10
iterations,20
num_col,98
scoring,precision
second_best_index,
boost_from_average,True
boosting_type,gbdt
class_weight,
colsample_bytree,0.5932501250505073
force_col_wise,true
importance_type,split
learning_rate,0.0001
max_bin,326
max_depth,11
metric,binary_logloss
min_child_samples,39
min_child_weight,0.001
min_split_gain,0.0
n_estimators,3656
n_jobs,-1
num_leaves,20
objective,binary
random_state,42
reg_alpha,1.1924126261956398
reg_lambda,1.7150616697757155
scale_pos_weight,0.3039520366473097
silent,warn
subsample,0.005
subsample_for_bin,429525
subsample_freq,0
verbose,0
best_score,0.7716666666666667
best_index,11.0
acc_train,0.6705202312138728
acc_val,0.6
acc_test,0.5483870967741935
train_precision,0.8541666666666666
train_tn,75.0
train_fp,7.0
train_fn,50.0
train_tp,41.0
val_precision,0.8333333333333334
val_tn,13.0
val_fp,1.0
val_fn,11.0
val_tp,5.0
test_precision,0.8333333333333334
recall,0.2777777777777778
f1score,0.4166666666666667
roc,0.6004273504273504
test_tn,12.0
test_fp,1.0
test_fn,13.0
test_tp,5.0
