parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7
cv,5,5,5,5,5,5,5
iterations,5,100,75,80,90,90,85
num_col,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision
boost_from_average,False,True,False,False,True,True,True
boosting_type,gbdt,gbdt,dart,dart,gbdt,gbdt,gbdt
class_weight,,,,,,,
colsample_bytree,0.5524295792763518,0.5679271011523563,0.9112297123247595,0.9112297123247595,0.5679271011523563,0.5,0.5679271011523563
force_col_wise,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split
learning_rate,0.0005330882335306452,0.0001,0.00011339754281048494,0.00011339754281048494,0.0001,0.0001,0.0001
max_bin,240,240,608,608,240,554,240
max_depth,38,29,50,50,29,33,29
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,39,40,5,5,40,27,40
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3725,2073,3927,3927,2073,1189,2073
n_jobs,-1,-1,-1,-1,-1,-1,-1
num_leaves,9,14,3,3,14,16,14
objective,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42
reg_alpha,2.038204453073899,0.9722111238470142,4.0,4.0,0.9722111238470142,0.7569883104911964,0.9722111238470142
reg_lambda,1.7813856167313924,0.3752885366287505,0.0,0.0,0.3752885366287505,0.7803257954880429,0.3752885366287505
scale_pos_weight,0.8500527551388624,1.0881856147464577,0.6525542974796392,0.6525542974796392,1.0881856147464577,1.312104539056357,1.0881856147464577
silent,warn,warn,warn,warn,warn,warn,warn
subsample,0.9969204043266121,1.0,0.005,0.005,1.0,0.005,1.0
subsample_for_bin,192030,100000,105767,105767,100000,100000,100000
subsample_freq,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0
best_score,0.6558186911128087,0.736037296037296,0.7250793650793651,0.7250793650793651,0.736037296037296,0.76,0.736037296037296
best_index,2.0,82.0,65.0,65.0,82.0,58.0,82.0
acc_train,0.788235294117647,0.6784313725490196,0.6941176470588235,0.6941176470588235,0.6784313725490196,0.6235294117647059,0.6784313725490196
acc_val,0.42105263157894735,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.3684210526315789,0.5263157894736842
acc_test,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334
train_precision,0.8404255319148937,0.8103448275862069,0.7777777777777778,0.7777777777777778,0.8103448275862069,0.9583333333333334,0.8103448275862069
train_tn,122.0,126.0,121.0,121.0,126.0,136.0,126.0
train_fp,15.0,11.0,16.0,16.0,11.0,1.0,11.0
train_fn,39.0,71.0,62.0,62.0,71.0,95.0,71.0
train_tp,79.0,47.0,56.0,56.0,47.0,23.0,47.0
val_precision,0.6,1.0,0.8,0.8,1.0,0.0,1.0
val_tn,5.0,7.0,6.0,6.0,7.0,7.0,7.0
val_fp,2.0,0.0,1.0,1.0,0.0,0.0,0.0
val_fn,9.0,9.0,8.0,8.0,9.0,12.0,9.0
val_tp,3.0,3.0,4.0,4.0,3.0,0.0,3.0
test_precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall,0.8,0.6,0.6,0.6,0.6,0.2,0.6
f1score,0.888888888888889,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.33333333333333337,0.7499999999999999
roc,0.9,0.8,0.8,0.8,0.8,0.6,0.8
test_tn,7.0,7.0,7.0,7.0,7.0,7.0,7.0
test_fp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_fn,1.0,2.0,2.0,2.0,2.0,4.0,2.0
test_tp,4.0,3.0,3.0,3.0,3.0,1.0,3.0
