parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14
boosting_type,dart,gbdt,dart,gbdt,gbdt,gbdt,gbdt,dart,gbdt,dart,dart,dart,dart,dart
class_weight,,,,,,,,,,,,,,
colsample_bytree,0.6000568421245674,0.1677891427453575,0.6000568421245674,0.30689305933475414,0.1677891427453575,0.1677891427453575,0.1677891427453575,0.6000568421245674,0.1677891427453575,0.528987135942054,0.528987135942054,0.528987135942054,0.528987135942054,0.528987135942054
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0006885907876058295,0.0019162589666810593,0.0006885907876058295,0.002423174894227271,0.0019162589666810593,0.0019162589666810593,0.0019162589666810593,0.0006885907876058295,0.0019162589666810593,0.0028055967090060275,0.0028055967090060275,0.0028055967090060275,0.0028055967090060275,0.0028055967090060275
max_depth,38,23,38,7,23,23,23,38,23,21,21,21,21,21
min_child_samples,37,32,37,27,32,32,32,37,32,17,17,17,17,17
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7,10
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1467,1894,1467,2884,1894,1894,1894,1467,1894,2149,2149,2149,1782,1782
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,7,10,7,11,10,10,10,7,10,9,9,9,14,14
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,,,,,
reg_alpha,1.8,0.0,1.2000000000000002,1.5,0.0,0.0,0.0,1.2000000000000002,0.0,1.0,0.5,0.5,0.5,0.5
reg_lambda,0.0,1.8,0.0,0.7000000000000001,0.9,0.9,0.9,0.0,1.8,1.0,0.5,0.5,0.5,0.5
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.4488857071819565,0.2639494323813032,0.4488857071819565,0.14532262888502284,0.2639494323813032,0.2639494323813032,0.2639494323813032,0.4488857071819565,0.2639494323813032,0.9860608005968848,0.9860608005968848,0.9860608005968848,0.04647262439621294,0.04647262439621294
subsample_for_bin,225635,358803,225635,119127,358803,358803,358803,225635,358803,116672,116672,116672,296934,296934
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boost_from_average,True,True,True,True,True,True,True,True,True,True,True,True,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,138,249,138,125,249,249,249,138,249,387,387,387,387,387
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.6000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.9000000000000001,0.9000000000000001
cv,5,5,5,7,3,4,6,5,5,5,5,5.0,5,5
scoring,f1,f1,f1,f1,f1,f1,f1,f1,f1,average_precision,average_precision,,f1,f1
num_col,110,110,110,110,110,110,110,110,110,110,110,110.0,110,110
iterations,10,10,10,10,10,10,10,15,10,10,10,10.0,10,10
