parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,gbdt,dart,gbdt,dart,gbdt,dart,gbdt,dart,dart,gbdt,dart,gbdt,dart,dart,dart,dart,gbdt,gbdt,gbdt,dart,gbdt,gbdt
class_weight,,,,,,,,,,,,,,,,,,,,,,
colsample_bytree,"(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')"
colsample_bytree,0.6924624821922484,0.7944921009943045,0.4,0.4305688496664809,0.4,0.7588282465072769,0.4,0.7944921009943045,0.7944921009943045,1.0,1.0,0.4,0.986052298023387,0.7588282465072769,0.7941527564140967,0.6442064265655422,0.5428059279726665,1.0,1.0,1.0,0.5428059279726665,0.4
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
iterations,100,100,50,30,40,20,60,70,80,50,50,50,30,10,50,50,50,50,50,50,50,50
iterations,100,100,50,30,40,20,60,70,80,50,50,50,30,10,50,50,50,50,50,50,50,50
learning_rate,0.0009350599902851064,0.0003878981577359088,0.0010101628949764547,0.00014835520401909591,0.0010101628949764547,0.00014220821962091613,0.0010101628949764547,0.0003878981577359088,0.0003878981577359088,0.00014091949912958023,0.0005681384598065981,0.004,0.0002716380235797586,0.00014220821962091613,0.0004860409506456749,0.0006697630757458176,0.001435961161141873,0.0001,0.003069429492307653,0.0015483961482230207,0.001435961161141873,0.004
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,1200,1236,752,933,752,1158,752,1236,1236,100,1280,420,1311,1158,1500,1500,571,1153,100,100,571,1500
