parameter,value1,value2,value3,value4,value5,value6,value7,value8
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,
colsample_bytree,0.9435703782153755,0.872293668820899,0.1677891427453575,0.49898437007873314,0.1470372236722359,0.1677891427453575,0.1677891427453575,0.7425763306461872
importance_type,split,split,split,split,split,split,split,split
learning_rate,0.00026216307026628627,0.00040783886902393755,0.0019162589666810593,0.0003304939642148201,0.0039166874131501455,0.0019162589666810593,0.0019162589666810593,0.000845385863843898
max_depth,0,0,23,29,45,23,23,16
min_child_samples,30,26,32,19,36,32,32,36
min_child_weight,0,2,6,0.001,6,6,6,8
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2657,2465,2054,2600,2509,2054,2643,3186
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,8,8,10,7,9,10,10,3
objective,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,
reg_alpha,0.0,0.4,0.9,1.3,1.7000000000000002,1.9000000000000001,1.9000000000000001,2.8000000000000003
reg_lambda,0.9,0.7000000000000001,1.8,0.1,1.9000000000000001,3.8000000000000003,3.8000000000000003,1.8
silent,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.7852174811807537,0.7473968543326747,0.6487712293279236,0.5597576125719046,0.7897433105970024,0.6487712293279236,0.6487712293279236,0.17081643471481592
subsample_for_bin,500000,481885,477471,439614,490512,477471,477471,345897
subsample_freq,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1
boost_from_average,True,True,True,True,False,True,True,False
force_col_wise,true,true,true,true,true,true,true,true
max_bin,190,290,435,146,389,435,435,347
scale_pos_weight,0.7500000000000002,0.8500000000000002,0.6000000000000002,0.6000000000000002,0.3500000000000001,0.6000000000000002,0.6000000000000002,1.5000000000000004
cv,10,10,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,f1
num_col,110,110,110,110,110,110,110,110
iterations,15,10,10,10,20,10,10,10
best_score,0.8814285714285715,0.861547619047619,0.8119047619047619,0.7533333333333333,0.888888888888889,0.8019480519480519,0.7790909090909091,0.6230548311278534
best_index,10.0,8.0,5.0,7.0,16.0,5.0,5.0,9.0
acc_train,0.75,0.8072916666666666,0.8229166666666666,0.7916666666666666,0.7291666666666666,0.796875,0.8125,0.8125
acc_val,0.5625,0.5208333333333334,0.5208333333333334,0.5625,0.6041666666666666,0.5416666666666666,0.5208333333333334,0.5625
acc_test,0.5833333333333334,0.5833333333333334,0.6333333333333333,0.6,0.5833333333333334,0.6333333333333333,0.6333333333333333,0.5666666666666667
precision,0.5714285714285714,0.5555555555555556,0.75,0.75,0.6666666666666666,0.75,0.75,0.5
recall,0.15384615384615385,0.19230769230769232,0.23076923076923078,0.11538461538461539,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.5
f1score,0.24242424242424246,0.28571428571428575,0.3529411764705882,0.19999999999999998,0.13793103448275862,0.3529411764705882,0.3529411764705882,0.5
roc,0.5328054298642533,0.5373303167420814,0.5859728506787331,0.5429864253393665,0.5237556561085972,0.5859728506787331,0.5859728506787331,0.5588235294117647
tn,31.0,30.0,32.0,33.0,33.0,32.0,32.0,21.0
fp,3.0,4.0,2.0,1.0,1.0,2.0,2.0,13.0
