parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18
cv,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3
iterations,50,50,50,50,50,50,70,30,50,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,dart,dart,dart,gbdt,dart,dart,dart
class_weight,,,,,,,,,,,,,,,,,,
colsample_bytree,0.5002495742396563,1.0,0.5719751876295762,0.816213428647506,0.5,0.5,0.5002495742396563,0.8369126567753572,1.0,0.5002495742396563,0.5,0.3,0.3,0.7376786816138623,0.5002495742396563,0.8761777004610093,0.7919386868819303,0.5
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.002099852707176558,0.00043474522352925,0.0019208796247803957,0.0001,0.00020374586199496414,0.0006680241609017501,0.002099852707176558,0.004,0.004,0.002099852707176558,0.0006266876088976118,0.00017059639304988226,0.00029630823193353483,0.0004376715302107373,0.002099852707176558,0.00012558321015324856,0.0001,0.00012041056191284422
max_bin,506,100,502,100,533,619,506,156,479,506,1000,154,721,650,506,332,540,997
max_depth,50,4,34,33,50,36,50,33,50,50,-1,-1,31,22,50,12,9,29
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,39,50,39,29,9,39,39,34,39,39,19,40,32,35,39,33,40,5
min_child_weight,0.001,0.001,0.001,10.0,3.891808969892034,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1667,700,3230,5000,1206,5597,1667,1229,5000,1667,1046,1518,700,7000,1667,700,2605,1725
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,3,20,3,9,20,8,3,5,9,3,6,9,18,14,3,3,3,20
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,4.0,1.5592835182531801,3.507061225687718,2.7485795284101067,1.478516643191511,3.5566687481224757,4.0,4.0,3.031646028403281,4.0,2.0,3.3498142533214437,2.800499927185181,3.0731030714266288,4.0,0.0066398227230991015,2.257691026598145,0.0
reg_lambda,3.853347252467279,2.619578108482164,3.1837330718977155,0.8036366628349202,2.8128963010612638,4.0,3.853347252467279,2.103305760440321,4.0,3.853347252467279,1.1884121986000469,0.8945749209656245,2.1469770905799668,4.0,3.853347252467279,3.04499384329112,0.0,2.125546380225
scale_pos_weight,0.6231087358688809,0.7373802228920336,0.6041036248757328,0.8427490927019308,0.820625554521059,0.6415710313819751,0.6231087358688809,0.6483084215081628,0.4060897637769598,0.6231087358688809,0.6950206456267195,0.6956985328135636,0.6581134198494848,0.7151222714900567,0.6231087358688809,0.809993614435174,0.730534462397451,0.27225355651869365
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,1.0,0.69806346816587,1.0,0.05127745125058172,0.8906439939329927,0.680299869389237,1.0,0.8751741896085415,0.8053995682379405,1.0,1.0,1.0,0.9805566248884346,0.5907366404065477,1.0,1.0,0.7975256093909388,0.005
subsample_for_bin,288226,410279,280944,435631,500000,408590,288226,154237,100000,288226,500000,500000,500000,470262,288226,500000,138484,275777
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
