parameter,iter_1,iter_2,iter_3
cv,3,3,3
iterations,50,50,50
num_col,98,98,98
scoring,precision,precision,precision
boost_from_average,True,True,True
boosting_type,gbdt,dart,gbdt
class_weight,,,
colsample_bytree,0.005,1.0,0.9105953265188789
force_col_wise,true,true,true
importance_type,split,split,split
learning_rate,0.0010799580824042748,0.004,0.0022415279374616084
max_bin,777,100,760
max_depth,36,12,45
metric,binary_logloss,binary_logloss,binary_logloss
min_child_samples,31,39,39
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,3580,4697,2031
n_jobs,-1,-1,-1
num_leaves,10,14,6
objective,binary,binary,binary
random_state,42,42,42
reg_alpha,2.957023619838719,1.2830396484834878,0.4758048056431381
reg_lambda,4.0,3.262066954887382,0.4343750172494642
scale_pos_weight,0.6812824580376395,0.38800765943276583,0.28130708182674713
silent,warn,warn,warn
subsample,0.587318333301115,0.14031495502147254,0.38108351810636104
subsample_for_bin,481942,354435,357846
subsample_freq,0,0,0
verbose,0,0,0
best_score,0.8333333333333334,0.7765567765567766,0.73989898989899
best_index,10.0,41.0,39.0
acc_train,0.6180904522613065,0.7437185929648241,0.7185929648241206
acc_val,0.58,0.58,0.54
acc_test,0.6190476190476191,0.6190476190476191,0.6507936507936508
precision,1.0,0.6,0.875
recall,0.14285714285714285,0.42857142857142855,0.25
f1score,0.25,0.5,0.3888888888888889
roc,0.5714285714285714,0.6000000000000001,0.6107142857142857
tn,35.0,27.0,34.0
fp,0.0,8.0,1.0
fn,24.0,16.0,21.0
tp,4.0,12.0,7.0
acc_test1,0.6666666666666666,0.6190476190476191,0.6666666666666666
precision1,1.0,0.5,1.0
recall1,0.125,0.25,0.125
f1score1,0.2222222222222222,0.3333333333333333,0.2222222222222222
roc1,0.5625,0.5480769230769231,0.5625
tn1,13.0,11.0,13.0
fp1,0.0,2.0,0.0
fn1,7.0,6.0,7.0
tp1,1.0,2.0,1.0
acc_test2,0.5714285714285714,0.6190476190476191,0.6190476190476191
precision2,1.0,0.6666666666666666,1.0
recall2,0.18181818181818182,0.5454545454545454,0.2727272727272727
f1score2,0.3076923076923077,0.6,0.42857142857142855
roc2,0.5909090909090909,0.6227272727272727,0.6363636363636364
tn2,10.0,7.0,10.0
fp2,0.0,3.0,0.0
fn2,9.0,5.0,8.0
tp2,2.0,6.0,3.0
acc_test3,0.6190476190476191,0.6190476190476191,0.6666666666666666
precision3,1.0,0.5714285714285714,0.75
recall3,0.1111111111111111,0.4444444444444444,0.3333333333333333
f1score3,0.19999999999999998,0.5,0.46153846153846156
roc3,0.5555555555555556,0.5972222222222222,0.6249999999999999
tn3,12.0,9.0,11.0
fp3,0.0,3.0,1.0
fn3,8.0,5.0,6.0
tp3,1.0,4.0,3.0
