parameter,iter_1,iter_2,iter_3,iter_4,iter_5
cv,5,5,5,5,5
iterations,50,50,50,50,50
num_col,98,98,98,98,98
scoring,precision,precision,precision,precision,precision
boost_from_average,False,True,False,False,True
boosting_type,dart,dart,dart,dart,dart
class_weight,,,,,
colsample_bytree,0.5135005244890084,0.5761277913372455,0.7137382983262245,1.0,0.9044600070749168
force_col_wise,true,true,true,true,true
importance_type,split,split,split,split,split
learning_rate,0.004,0.001532097310015476,0.00011892290805831745,0.004,0.0001895295298619589
max_bin,850,1000,705,278,1040
max_depth,8,0,24,50,50
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,18,15,8,19,32
min_child_weight,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0
n_estimators,5000,2329,6000,2640,2739
n_jobs,-1,-1,-1,-1,-1
num_leaves,13,19,3,3,16
objective,binary,binary,binary,binary,binary
random_state,42,42,42,42,42
reg_alpha,0.9199544921992134,2.0,0.9350300051830218,0.0,0.0
reg_lambda,5.0,4.93617395330854,2.059037005586728,0.0,4.0
scale_pos_weight,1.3013053731989368,0.9099440336144975,0.6564107831162791,1.180343567418477,0.639404560779792
silent,warn,warn,warn,warn,warn
subsample,0.005,0.005,0.19375461635786248,0.005,0.10153123356722767
subsample_for_bin,823158,1000000,100000,1000000,102475
subsample_freq,0,0,0,0,0
verbose,0,0,0,0,0
best_score,0.5937680740312319,0.5984294068504595,0.6293650793650793,0.6062757494336442,0.6096103896103896
best_index,18.0,45.0,30.0,22.0,19.0
acc_train,1.0,0.9066147859922179,0.6536964980544747,0.8404669260700389,0.6926070038910506
acc_val,0.8947368421052632,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.8421052631578947
acc_test,0.6111111111111112,0.6666666666666666,0.5,0.6111111111111112,0.5555555555555556
train_precision,1.0,0.97,0.8717948717948718,0.8031496062992126,0.8545454545454545
train_tn,139.0,136.0,134.0,114.0,131.0
train_fp,0.0,3.0,5.0,25.0,8.0
train_fn,0.0,21.0,84.0,16.0,71.0
train_tp,118.0,97.0,34.0,102.0,47.0
val_precision,0.8888888888888888,0.7777777777777778,1.0,0.7272727272727273,1.0
val_tn,9.0,8.0,10.0,7.0,10.0
val_fp,1.0,2.0,0.0,3.0,0.0
val_fn,1.0,2.0,4.0,1.0,3.0
val_tp,8.0,7.0,5.0,8.0,6.0
test_precision,0.5714285714285714,0.75,0.0,0.5714285714285714,0.5
recall,0.5,0.375,0.0,0.5,0.125
f1score,0.5333333333333333,0.5,0.0,0.5333333333333333,0.2
roc,0.5999999999999999,0.6375000000000001,0.45,0.5999999999999999,0.5125
test_tn,7.0,9.0,9.0,7.0,9.0
test_fp,3.0,1.0,1.0,3.0,1.0
test_fn,4.0,5.0,8.0,4.0,7.0
test_tp,4.0,3.0,0.0,4.0,1.0
