parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8
cv,5,5,5,5,5,5,5,5
iterations,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,False,True,False,True,True,False,False,False
boosting_type,dart,gbdt,dart,gbdt,dart,gbdt,gbdt,dart
class_weight,,,,,,,,
colsample_bytree,0.7176826828488699,1.0,0.5,0.7184969418065881,0.7965339296516478,0.5397117344638314,0.9838578633080554,0.5
force_col_wise,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split
learning_rate,0.004,0.00015535952061930343,0.004,0.0011980885039492473,0.003194224570620745,0.004,0.0004458430140779314,0.004
max_bin,126,100,1000,867,542,504,648,1000
max_depth,31,38,50,18,50,0,28,50
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,5,36,5,19,16,13,5,5
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3812,1470,700,2170,5000,3012,3765,700
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,4,5,17,12,3,14,5,17
objective,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42
reg_alpha,1.763266162937274,1.4533133455719027,1.438712891571918,0.6160708864282425,2.0,0.5188628360612872,0.8471973854466287,1.438712891571918
reg_lambda,3.3836435518987087,4.340948242694163,5.0,0.29026554647636416,0.0,1.46945467235049,3.55322383678766,5.0
scale_pos_weight,1.065404696134222,1.149850635634108,0.7328257459447878,1.1817780074870743,1.1087004396395697,1.7079375520969515,1.208717582456638,0.7328257459447878
silent,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.7761250010775634,1.0,1.0,0.29865749633283256,0.27804106545614327,0.4915483318590008,0.7405861692717592,1.0
subsample_for_bin,500000,700000,576544,740564,658896,422582,1000000,576544
subsample_freq,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0
best_score,0.6097121181331707,0.6571428571428571,0.5984090909090909,0.5971403077718866,0.6097402597402597,0.5931504485852311,0.5948401588679345,0.5984090909090909
best_index,41.0,23.0,36.0,16.0,30.0,33.0,19.0,36.0
acc_train,0.8832684824902723,0.5992217898832685,0.914396887159533,0.9922178988326849,0.8793774319066148,1.0,0.8404669260700389,0.914396887159533
acc_val,0.7894736842105263,0.5263157894736842,0.7894736842105263,0.7894736842105263,0.7368421052631579,0.7368421052631579,0.7894736842105263,0.7894736842105263
acc_test,0.6111111111111112,0.5555555555555556,0.6111111111111112,0.6666666666666666,0.6111111111111112,0.6666666666666666,0.6666666666666666,0.6111111111111112
train_precision,0.8728813559322034,1.0,0.9897959183673469,0.9833333333333333,0.848,1.0,0.7984496124031008,0.9897959183673469
train_tn,124.0,139.0,138.0,137.0,120.0,139.0,113.0,138.0
train_fp,15.0,0.0,1.0,2.0,19.0,0.0,26.0,1.0
train_fn,15.0,103.0,21.0,0.0,12.0,0.0,15.0,21.0
train_tp,103.0,15.0,97.0,118.0,106.0,118.0,103.0,97.0
val_precision,0.7777777777777778,0.0,0.8571428571428571,0.7272727272727273,0.75,0.7,0.7272727272727273,0.8571428571428571
val_tn,8.0,10.0,9.0,7.0,8.0,7.0,7.0,9.0
val_fp,2.0,0.0,1.0,3.0,2.0,3.0,3.0,1.0
val_fn,2.0,9.0,3.0,1.0,3.0,2.0,1.0,3.0
val_tp,7.0,0.0,6.0,8.0,6.0,7.0,8.0,6.0
test_precision,0.5714285714285714,0.0,0.6666666666666666,0.625,0.5714285714285714,0.6,0.6666666666666666,0.6666666666666666
recall,0.5,0.0,0.25,0.625,0.5,0.75,0.5,0.25
f1score,0.5333333333333333,0.0,0.36363636363636365,0.625,0.5333333333333333,0.6666666666666665,0.5714285714285715,0.36363636363636365
roc,0.5999999999999999,0.5,0.575,0.6625,0.5999999999999999,0.675,0.6500000000000001,0.575
test_tn,7.0,10.0,9.0,7.0,7.0,6.0,8.0,9.0
test_fp,3.0,0.0,1.0,3.0,3.0,4.0,2.0,1.0
test_fn,4.0,8.0,6.0,3.0,4.0,2.0,4.0,6.0
test_tp,4.0,0.0,2.0,5.0,4.0,6.0,4.0,2.0
