parameter,iter_1
cv,5
iterations,50
num_col,98
scoring,precision
boost_from_average,False
boosting_type,dart
class_weight,
colsample_bytree,0.7176826828488699
force_col_wise,true
importance_type,split
learning_rate,0.004
max_bin,126
max_depth,31
metric,binary_logloss
min_child_samples,5
min_child_weight,0.001
min_split_gain,0.0
n_estimators,3812
n_jobs,-1
num_leaves,4
objective,binary
random_state,42
reg_alpha,1.763266162937274
reg_lambda,3.3836435518987087
scale_pos_weight,1.065404696134222
silent,warn
subsample,0.7761250010775634
subsample_for_bin,500000
subsample_freq,0
verbose,0
best_score,0.6097121181331707
best_index,41.0
acc_train,0.8832684824902723
acc_val,0.7894736842105263
acc_test,0.6111111111111112
train_precision,0.8728813559322034
train_tn,124.0
train_fp,15.0
train_fn,15.0
train_tp,103.0
val_precision,0.7777777777777778
val_tn,8.0
val_fp,2.0
val_fn,2.0
val_tp,7.0
test_precision,0.5714285714285714
recall,0.5
f1score,0.5333333333333333
roc,0.5999999999999999
test_tn,7.0
test_fp,3.0
test_fn,4.0
test_tp,4.0
