Date,Price,Open,High,Low,Vol.,Change %
29-Jun-22,"82,900","83,100","83,600","82,600",264.81K,-0.60%
28-Jun-22,"83,400","82,400","83,400","82,100",276.34K,1.21%
27-Jun-22,"82,400","82,800","83,500","82,300",0.03K,-0.72%
26-Jun-22,"83,000","83,000","83,000","83,000",-,0.00%
24-Jun-22,"83,000","83,200","83,300","82,100",276.74K,0.48%
23-Jun-22,"82,600","82,700","83,300","82,200",0.00K,0.49%
22-Jun-22,"82,200","83,200","83,700","82,100",0.02K,-1.08%
21-Jun-22,"83,100","83,100","83,400","82,600",206.47K,0.73%
20-Jun-22,"82,500","83,500","83,700","82,100",246.68K,-1.08%
17-Jun-22,"83,400","82,800","83,600","82,700",424.52K,0.00%
16-Jun-22,"83,400","83,300","83,900","83,100",257.93K,0.12%
15-Jun-22,"83,300","84,300","84,300","82,700",339.90K,-0.36%
14-Jun-22,"83,600","83,000","84,200","82,400",523.85K,0.48%
13-Jun-22,"83,200","83,300","84,000","83,200",0.01K,-0.72%
12-Jun-22,"83,800","83,800","83,800","83,800",-,0.00%
10-Jun-22,"83,800","84,400","84,400","83,400",298.37K,-1.53%
09-Jun-22,"85,100","85,100","85,400","84,300",346.75K,-0.23%
08-Jun-22,"85,300","85,400","85,700","85,000",0.01K,-0.70%
07-Jun-22,"85,900","85,000","86,000","84,600",0.00K,1.06%
03-Jun-22,"85,000","85,200","85,300","84,500",290.51K,-0.23%
02-Jun-22,"85,200","84,800","85,300","84,200",0.00K,0.24%
01-Jun-22,"85,000","85,000","85,000","85,000",-,0.00%
31-May-22,"85,000","83,900","85,000","83,600",858.26K,1.19%
30-May-22,"84,000","85,200","85,200","83,700",348.01K,-1.41%
29-May-22,"85,200","85,200","85,200","85,200",-,0.00%
27-May-22,"85,200","85,100","85,200","84,700",261.11K,0.12%
26-May-22,"85,100","84,300","85,100","84,200",290.09K,0.24%
25-May-22,"84,900","85,200","85,200","84,200",329.96K,-0.24%
24-May-22,"85,100","84,400","85,100","84,400",0.02K,0.47%
23-May-22,"84,700","84,400","84,700","84,100",294.73K,0.36%
20-May-22,"84,400","84,500","84,800","84,200",348.89K,-0.12%
19-May-22,"84,500","83,800","84,500","83,200",500.52K,0.36%
18-May-22,"84,200","83,600","84,200","83,400",0.00K,0.36%
17-May-22,"83,900","83,500","83,900","83,300",0.00K,0.48%
16-May-22,"83,500","83,400","83,600","82,700",400.22K,0.12%
13-May-22,"83,400","82,900","83,400","82,700",518.83K,0.72%
12-May-22,"82,800","82,000","83,200","81,500",0.01K,1.22%
11-May-22,"81,800","82,100","82,600","81,700",0.05K,-0.97%
10-May-22,"82,600","82,700","82,700","82,000",330.88K,-0.12%
09-May-22,"82,700","82,500","82,800","82,000",259.93K,0.24%
08-May-22,"82,500","82,500","82,500","82,500",-,0.00%
06-May-22,"82,500","82,900","82,900","82,100",276.70K,-0.48%
04-May-22,"82,900","82,400","82,900","82,200",228.14K,0.48%
03-May-22,"82,500","82,200","82,900","82,100",0.00K,0.12%
02-May-22,"82,400","82,500","82,600","82,100",146.04K,-0.24%
01-May-22,"82,600","82,600","82,600","82,600",-,0.00%
29-Apr-22,"82,600","81,500","82,600","81,500",313.10K,0.49%
28-Apr-22,"82,200","81,200","82,300","81,000",0.01K,0.74%
27-Apr-22,"81,600","81,400","82,000","81,200",223.49K,-0.61%
26-Apr-22,"82,100","82,200","82,400","81,800",0.03K,-0.36%
25-Apr-22,"82,400","81,500","82,400","81,400",382.95K,0.49%
24-Apr-22,"82,000","82,000","82,000","82,000",-,0.00%
22-Apr-22,"82,000","81,000","82,300","81,000",479.77K,0.74%
21-Apr-22,"81,400","81,400","81,700","81,100",210.50K,0.62%
20-Apr-22,"80,900","81,000","81,300","80,500",266.34K,-0.25%
19-Apr-22,"81,100","80,600","81,100","80,100",195.80K,0.75%
18-Apr-22,"80,500","79,900","80,600","79,600",168.37K,0.88%
17-Apr-22,"79,800","79,800","79,800","79,800",-,0.00%
15-Apr-22,"79,800","80,600","80,700","79,300",598.88K,-1.24%
14-Apr-22,"80,800","81,400","81,500","80,600",0.01K,-1.46%
13-Apr-22,"82,000","82,200","82,200","81,600",165.34K,0.00%
12-Apr-22,"82,000","82,000","82,300","81,300",260.32K,-0.36%
11-Apr-22,"82,300","81,300","82,300","81,000",0.02K,0.61%
10-Apr-22,"81,800","81,800","81,800","81,800",-,0.00%
08-Apr-22,"81,800","81,600","81,900","81,300",242.61K,0.49%
07-Apr-22,"81,400","81,000","81,600","81,000",292.71K,0.25%
06-Apr-22,"81,200","81,200","81,500","81,000",239.99K,-0.25%
05-Apr-22,"81,400","81,100","81,400","80,900",147.27K,0.00%
04-Apr-22,"81,400","80,900","81,400","80,900",0.03K,0.49%
01-Apr-22,"81,000","80,500","81,100","80,400",199.56K,0.37%
31-Mar-22,"80,700","81,000","81,200","80,600",250.50K,-0.25%
30-Mar-22,"80,900","81,200","81,300","80,600",0.01K,-0.25%
29-Mar-22,"81,100","80,900","81,100","80,500",0.00K,0.37%
28-Mar-22,"80,800","80,200","80,900","80,100",0.02K,0.00%
25-Mar-22,"80,800","80,400","80,800","80,400",217.18K,-0.12%
24-Mar-22,"80,900","80,300","80,900","80,200",193.38K,0.50%
23-Mar-22,"80,500","80,500","81,000","80,300",371.95K,0.00%
22-Mar-22,"80,500","81,000","81,000","80,400",168.25K,-0.12%
21-Mar-22,"80,600","80,900","81,400","80,600",184.64K,-1.10%
18-Mar-22,"81,500","80,800","81,500","80,700",348.02K,0.37%
17-Mar-22,"81,200","81,700","81,900","81,100",341.50K,-0.37%
