parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
cv,5,5,5,5,5,5,5,5,5
iterations,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,True,True,True,True,True,True,True,False,True
boosting_type,gbdt,dart,gbdt,dart,dart,gbdt,gbdt,gbdt,dart
class_weight,,,,,,,,,
colsample_bytree,0.5,0.8020906558850593,0.7482333517983584,0.6096879160689384,0.5,0.6628312180946689,0.7783513657229615,0.9048217066165266,0.6147024908894766
force_col_wise,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split
learning_rate,0.0001519493407235007,0.00030646126222693364,0.00012075930993151261,0.000127775141538821,0.0001,0.00011603295442780868,0.0001,0.00030145430492518503,0.00013317807850535537
max_bin,269,850,614,614,719,516,100,351,945
max_depth,50,48,1,27,14,0,39,17,11
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,24,10,34,38,6,40,33,24,19
min_child_weight,0.001,2.0855339877380406,0.001,0.001,0.001,0.001,0.001,7.4978472706233745,3.6699874737057443
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2949,779,2280,4147,2301,1122,3091,700,1777
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,4,3,13,6,6,13,17,6,9
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42
reg_alpha,0.6387438415152585,0.7308101984460864,0.3804094710506362,1.0740289755648436,0.8303528972238272,0.45162714038666874,0.988553332229391,0.55499997237991,0.0
reg_lambda,3.5129664938676455,1.209026296526279,1.3724574490089516,0.08486320887719387,1.6129701580495817,2.8242748239210838,3.6728387313614075,2.3126204575953677,0.5802290740739937
scale_pos_weight,0.5374933676345728,0.58386049598192,1.2035816106828423,0.45920080950083614,0.6724241103215549,0.9844203129310616,0.8073768538318782,0.5373928719336201,0.34917878571385685
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.08233834968320015,0.5194746590663265,0.8497893690756705,0.5377645010744319,0.5804385228946176,1.0,1.0,0.40331912625531136,0.7564617660521454
subsample_for_bin,144182,178734,115208,396717,156657,227369,423637,104118,100000
subsample_freq,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0
best_score,0.7428571428571429,0.7333116883116884,0.6743062046860674,0.8099999999999999,0.6906593406593406,0.75,0.7371794871794872,0.7361046847888952,0.8242857142857142
best_index,44.0,36.0,7.0,37.0,44.0,37.0,44.0,19.0,14.0
acc_train,0.6536964980544747,0.6498054474708171,0.688715953307393,0.6770428015564203,0.77431906614786,0.6614785992217899,0.7315175097276264,0.6575875486381323,0.6498054474708171
acc_val,0.631578947368421,0.5789473684210527,0.631578947368421,0.7368421052631579,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.6842105263157895,0.631578947368421
acc_test,0.5,0.5,0.7222222222222222,0.5,0.6111111111111112,0.5,0.5,0.5,0.5
train_precision,0.9459459459459459,0.9,0.675,0.9148936170212766,0.9324324324324325,1.0,0.9076923076923077,0.8269230769230769,1.0
train_tn,133.0,131.0,96.0,131.0,130.0,135.0,129.0,126.0,135.0
train_fp,2.0,4.0,39.0,4.0,5.0,0.0,6.0,9.0,0.0
train_fn,87.0,86.0,41.0,79.0,53.0,87.0,63.0,79.0,90.0
train_tp,35.0,36.0,81.0,43.0,69.0,35.0,59.0,43.0,32.0
val_precision,0.5,0.3333333333333333,0.5,0.75,0.3333333333333333,0.0,0.3333333333333333,0.6,0.5
val_tn,11.0,10.0,8.0,11.0,10.0,11.0,10.0,10.0,11.0
val_fp,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0
val_fn,6.0,6.0,3.0,4.0,6.0,7.0,6.0,4.0,6.0
val_tp,1.0,1.0,4.0,3.0,1.0,0.0,1.0,3.0,1.0
test_precision,0.0,0.0,0.8333333333333334,0.0,1.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.5555555555555556,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
f1score,0.0,0.0,0.6666666666666667,0.0,0.3636363636363636,0.0,0.0,0.0,0.0
roc,0.5,0.5,0.7222222222222222,0.5,0.6111111111111112,0.5,0.5,0.5,0.5
test_tn,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0
test_fp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test_fn,9.0,9.0,4.0,9.0,7.0,9.0,9.0,9.0,9.0
test_tp,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
