parameter,iter_1,iter_2,iter_3,iter_4,iter_5
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,False,False,False,False,False
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,gbdt,gbdt,gbdt,dart,gbdt
class_weight,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.550445526556202,0.5217792060219918,0.5,0.5,0.5
cv,3,3,3,3,3
cv,3,3,3,3,3
force_col_wise,['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true
importance_type,split,split,split,split,split
importance_type,['split'],['split'],['split'],['split'],['split']
iterations,50,50,50,50,50
iterations,50,50,50,50,50
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
learning_rate,0.0016963869570050063,0.0005954524667311851,0.004,0.004,0.0006271574097291542
max_bin,489,818,100,795,166
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)"
max_depth,34,50,60,0,28
max_depth,"(0, 50)","(0, 50)","(0, 60)","(0, 60)","(0, 50)"
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,38,40,5,46,44
min_child_samples,"(5, 40)","(5, 40)","(5, 50)","(5, 50)","(5, 50)"
min_child_weight,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 7000)","(700, 7000)","(700, 7000)","(700, 7000)"
n_estimators,5000,4182,700,7000,4629
n_jobs,-1,-1,-1,-1,-1
num_col,98,40,40,40,40
num_col,98,40,40,40,40
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
num_leaves,7,10,20,11,9
objective,['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary
random_state,42,42,42,42,42
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')"
reg_alpha,4.0,3.6280026256652644,0.0,4.0,2.7024855648111843
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')"
reg_lambda,0.0,0.0,4.0,0.6950410036170306,3.5564398149933196
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.7007484291613266,0.7519038798492406,0.2,0.8867031921673985,0.8064117360271696
scoring,precision,precision,precision,accuracy,precision
scoring,precision,precision,precision,accuracy,precision
silent,warn,warn,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample,1.0,0.005,0.005,0.22876922893013482,0.5930419152587121
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)"
subsample_for_bin,100000,327266,100000,220233,228232
subsample_freq,0,0,0,0,0
verbose,0,0,0,0,0
best_score,0.7686274509803921,0.7294117647058824,0.875,0.6732247851650838,0.7823529411764706
best_index,20.0,43.0,23.0,48.0,25.0
acc_train,0.8291457286432161,0.7839195979899497,0.6984924623115578,0.8391959798994975,0.7889447236180904
acc_val,0.62,0.58,0.58,0.64,0.6
acc_test,0.5714285714285714,0.5873015873015873,0.49206349206349204,0.5555555555555556,0.6031746031746031
precision,0.8181818181818182,0.8333333333333334,1.0,0.6666666666666666,0.8461538461538461
recall,0.2647058823529412,0.29411764705882354,0.058823529411764705,0.35294117647058826,0.3235294117647059
f1score,0.39999999999999997,0.4347826086956522,0.1111111111111111,0.46153846153846156,0.46808510638297873
roc,0.5978701825557808,0.6125760649087222,0.5294117647058824,0.5730223123732252,0.6272819472616633
tn,27.0,27.0,29.0,23.0,27.0
fp,2.0,2.0,0.0,6.0,2.0
fn,25.0,24.0,32.0,22.0,23.0
tp,9.0,10.0,2.0,12.0,11.0
acc_test1,0.6190476190476191,0.6190476190476191,0.5238095238095238,0.7142857142857143,0.6666666666666666
precision1,1.0,1.0,0.0,1.0,1.0
recall1,0.2,0.2,0.0,0.4,0.3
f1score1,0.33333333333333337,0.33333333333333337,0.0,0.5714285714285715,0.4615384615384615
roc1,0.6,0.6,0.5,0.7,0.65
tn1,11.0,11.0,11.0,11.0,11.0
fp1,0.0,0.0,0.0,0.0,0.0
fn1,8.0,8.0,10.0,6.0,7.0
tp1,2.0,2.0,0.0,4.0,3.0
acc_test2,0.6190476190476191,0.6190476190476191,0.42857142857142855,0.5714285714285714,0.6190476190476191
precision2,1.0,1.0,1.0,0.8333333333333334,1.0
recall2,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.38461538461538464,0.38461538461538464
f1score2,0.5555555555555556,0.5555555555555556,0.14285714285714288,0.5263157894736842,0.5555555555555556
roc2,0.6923076923076923,0.6923076923076923,0.5384615384615384,0.6298076923076923,0.6923076923076923
tn2,8.0,8.0,8.0,7.0,8.0
fp2,0.0,0.0,0.0,1.0,0.0
fn2,8.0,8.0,12.0,8.0,8.0
tp2,5.0,5.0,1.0,5.0,5.0
acc_test3,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.38095238095238093,0.5238095238095238
precision3,0.5,0.6,1.0,0.375,0.6
recall3,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.2727272727272727
f1score3,0.26666666666666666,0.37499999999999994,0.16666666666666669,0.3157894736842105,0.37499999999999994
roc3,0.49090909090909096,0.5363636363636364,0.5454545454545454,0.38636363636363635,0.5363636363636364
tn3,8.0,8.0,10.0,5.0,8.0
fp3,2.0,2.0,0.0,5.0,2.0
fn3,9.0,8.0,10.0,8.0,8.0
tp3,2.0,3.0,1.0,3.0,3.0
