parameter,iter_1
cv,3
iterations,50
num_col,98
scoring,precision
boost_from_average,False
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
force_col_wise,true
importance_type,split
learning_rate,0.0006271574097291542
max_bin,166
max_depth,28
metric,binary_logloss
min_child_samples,44
min_child_weight,0.001
min_split_gain,0.0
n_estimators,4629
n_jobs,-1
num_leaves,9
objective,binary
random_state,42
reg_alpha,2.7024855648111843
reg_lambda,3.5564398149933196
scale_pos_weight,0.8064117360271696
silent,warn
subsample,0.5930419152587121
subsample_for_bin,228232
subsample_freq,0
verbose,0
best_score,0.7823529411764706
best_index,25.0
acc_train,0.7889447236180904
acc_val,0.6
acc_test,0.6031746031746031
precision,0.8461538461538461
recall,0.3235294117647059
f1score,0.46808510638297873
roc,0.6272819472616633
tn,27.0
fp,2.0
fn,23.0
tp,11.0
acc_test1,0.6666666666666666
precision1,1.0
recall1,0.3
f1score1,0.4615384615384615
roc1,0.65
tn1,11.0
fp1,0.0
fn1,7.0
tp1,3.0
acc_test2,0.6190476190476191
precision2,1.0
recall2,0.38461538461538464
f1score2,0.5555555555555556
roc2,0.6923076923076923
tn2,8.0
fp2,0.0
fn2,8.0
tp2,5.0
acc_test3,0.5238095238095238
precision3,0.6
recall3,0.2727272727272727
f1score3,0.37499999999999994
roc3,0.5363636363636364
tn3,8.0
fp3,2.0
fn3,8.0
tp3,3.0
