parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,False,False,True,True,True,True,True,False
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,dart,dart,gbdt,gbdt,gbdt,gbdt,dart,gbdt
class_weight,,,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.809799075206854,0.9433821636486107,0.5818035893192751,0.9358259642316076,0.9358259642316076,0.679511465960702,0.5913013647874361,0.902019089154521
cv,5,5,5,5,5,5,5,5
cv,5,5,5,5,5,5,5,5
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true,true,true
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split,split,split
iterations,50,20,20,20,20,20,50,50
iterations,50,20,20,20,20,20,50,50
learning_rate,0.004,0.000622966496300854,0.0003952711851453308,0.00021812144757174065,0.00021812144757174065,0.0008966376442750347,0.00018074085856603745,0.00020430899556526857
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,1000,996,513,100,100,684,100,100
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)"
max_depth,10,37,27,19,19,21,0,50
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_samples,19,13,25,11,11,27,16,5
min_child_weight,,,,,"(0.001, 5.0)","(0.001, 5.0)","(0.001, 5.0)",
min_child_weight,0.001,0.001,0.001,0.001,3.8371243065122664,4.621482559373631,0.6802797021943779,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)"
n_estimators,700,1227,3232,4000,2611,3529,700,4176
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98
num_leaves,15,16,13,11,5,13,14,20
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42
reg_alpha,1.0244541786075705,2.513366123825905,0.9963466755148147,0.0,0.0,0.9370311284624093,0.5151069690950635,0.18447354367723737
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')",,,"(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 6.0, 'uniform')"
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')",,,"(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 6.0, 'uniform')"
reg_lambda,4.0,2.8925502161644103,1.9363483479814654,0.0,0.0,2.4456314232015934,0.5399718275377432,4.339667073589179
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.4318346305350992,0.7221562417234115,0.6684512344586391,0.5332287119838609,0.8617442818244041,0.7892600062914028,0.6928731796764536,0.858530866357589
scoring,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn
subsample,1.0,0.49983583511131463,0.6487712293279236,0.37079753356404554,0.40764193647046626,0.3982415029612957,0.9685407483652572,1.0
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
