parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12
cv,3,3,3,3,3,3,3,3,3,3,3,3
iterations,50,50,50,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,False,False,False,False,True,False,False,True,True,True,True,True
boosting_type,dart,dart,dart,dart,dart,gbdt,dart,gbdt,gbdt,gbdt,dart,gbdt
class_weight,,,,,,,,,,,,
colsample_bytree,0.5,0.5842949843756661,0.516793577335829,0.516793577335829,0.9572375125574646,0.5885224048967721,0.8941066246266269,0.5073460565464172,0.8631282179796431,0.8600695648681143,0.5,0.8631282179796431
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.004,0.00031529557436100656,0.0001,0.0001,0.004,0.0001,0.0011541134237542908,0.0009822426264684534,0.0006575433532695921,0.00021967365627369604,0.004,0.0006575433532695921
max_bin,637,236,116,116,1000,1000,499,502,367,544,969,367
max_depth,0,2,50,50,0,32,0,18,11,15,0,11
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,15,19,5,5,16,18,14,10,5,20,5,5
min_child_weight,0.001,1.719070016371419,4.542000254503246,4.542000254503246,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,809,1320,700,700,3000,700,6000,3000,2927,3453,1283,2927
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,5,3,3,3,3,12,4,3,14,4,3,14
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.0,3.7939836428553817,4.0,4.0,2.6569103958555353,4.0,3.4385273537154317,2.0,2.921456300366366,0.0023614252648703677,4.0,2.921456300366366
reg_lambda,2.2434024405270048,4.0,4.0,4.0,4.0,0.5840636349046598,4.0,0.21527754290731912,1.7180486170306122,2.5145582077211728,4.0,1.7180486170306122
scale_pos_weight,0.5012340110153988,0.8222359278142146,0.8611232245655138,0.8611232245655138,0.6315330688723373,0.8423184813124447,0.7626624916199494,0.7345693181956341,0.47046338953928435,0.5998041963261056,0.871898985604006,0.47046338953928435
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.8092276785436467,0.8368364134356108,0.15634752643746114,0.15634752643746114,0.005,0.005,1.0,0.051202433751046425,0.32639413767664877,0.8484317331470174,0.28189108859264717,0.32639413767664877
subsample_for_bin,425691,500000,410974,410974,100000,500000,232946,421497,254988,276738,500000,254988
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.6851851851851852,0.7009189640768588,0.6972222222222223,0.6972222222222223,0.6867724867724867,0.6426282051282052,0.711919191919192,0.6658615136876007,0.7333333333333334,0.75,0.7088888888888888,0.7333333333333334
