parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.5,0.7
importance_type,split,split
learning_rate,0.001,0.0005
max_depth,-1,-1
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1100,1200
n_jobs,-1,-1
num_leaves,4,5
objective,binary,binary
random_state,42,42
reg_alpha,0.0,0.0
reg_lambda,0.0,0.0
silent,warn,warn
subsample,0.2,0.2
subsample_for_bin,200000,250000
subsample_freq,0,0
metric,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0
cv,,
scoring,precision,precision
num_col,110,110
best_score,0.745,0.8366666666666667
best_index,840.0,4992.0
acc_train,0.8251748251748252,0.7972027972027972
acc_val,0.5833333333333334,0.5833333333333334
acc_test,0.5555555555555556,0.5555555555555556
precision,0.6363636363636364,0.8
recall,0.30434782608695654,0.17391304347826086
f1score,0.411764705882353,0.2857142857142857
roc,0.5612648221343872,0.5642292490118577
tn,18.0,21.0
fp,4.0,1.0
fn,16.0,19.0
tp,7.0,4.0
acc_test1,0.6,0.5333333333333333
precision1,0.8,1.0
recall1,0.4444444444444444,0.2222222222222222
f1score1,0.5714285714285714,0.3636363636363636
roc1,0.6388888888888888,0.6111111111111112
tn1,5.0,6.0
fp1,1.0,0.0
fn1,5.0,7.0
tp1,4.0,2.0
acc_test2,0.4,0.4
precision2,0.5,0.0
recall2,0.1111111111111111,0.0
f1score2,0.1818181818181818,0.0
roc2,0.47222222222222227,0.5
tn2,5.0,6.0
fp2,1.0,0.0
fn2,8.0,9.0
tp2,1.0,0.0
acc_test3,0.6666666666666666,0.7333333333333333
precision3,0.5,0.6666666666666666
recall3,0.4,0.4
f1score3,0.4444444444444445,0.5
roc3,0.6,0.65
tn3,8.0,9.0
fp3,2.0,1.0
fn3,3.0,3.0
tp3,2.0,2.0
