parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15
boost_from_average,"[True, False]",[True],"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]",[True],"[True, False]","[True, False]",[True],"[True, False]","[True, False]",[True]
boost_from_average,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True
boosting_type,"['gbdt', 'dart']",['gbdt'],"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']",['dart'],"['gbdt', 'dart']","['gbdt', 'dart']",['gbdt'],"['gbdt', 'dart']","['gbdt', 'dart']",['gbdt']
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')",[0.5],"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')",[0.6653875865901097],"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')",[0.9970761629170777],"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')",[0.5820388147613819]
colsample_bytree,0.5,0.5,0.966433999423917,0.8389641130498308,0.5003884055940988,0.5003884055940988,0.5003884055940988,0.5003884055940988,0.6653875865901097,0.9279935834408501,0.6379121667952337,0.9970761629170777,0.845300183681915,0.8320926699365103,0.5820388147613819
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
iterations,50,2,2,50,50,30,20,40,2,40,40,2,40,40,2
iterations,50,2,2,50,50,30,20,40,2,40,40,2,40,40,2
learning_rate,0.00039522231916081364,0.0003959193983386605,0.00046072618185865515,0.0004981802786640743,0.00038040492751645707,0.00038040492751645707,0.00038040492751645707,0.00038040492751645707,0.0004438658105510356,0.0007852120524453215,0.00042252880237715834,0.0004020540302652013,0.002669289912708617,0.0003998304842547658,0.0002640343509150342
learning_rate,"(0.0001, 0.004, 'log-uniform')",[0.0003959193983386605],"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')",[0.0004438658105510356],"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')",[0.0004020540302652013],"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')",[0.0002640343509150342]
max_bin,323,100,416,254,574,574,574,574,100,581,418,100,981,526,100
max_bin,"(100, 1000)",[100],"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)",[100],"(100, 1000)","(100, 1000)",[100],"(100, 1000)","(100, 1000)",[100]
max_depth,34,15,37,27,27,27,27,27,4,47,37,43,5,33,35
max_depth,"(0, 50)",[15],"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)",[4],"(0, 50)","(0, 50)",[43],"(0, 50)","(0, 50)",[35]
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,30,28,28,37,27,27,27,27,17,8,21,21,22,12,29
min_child_samples,"(5, 40)",[28],"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)",[17],"(5, 40)","(5, 40)",[21],"(5, 40)","(5, 40)",[29]
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)",[977],"(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)",[2766],"(700, 5000)","(700, 5000)",[1880],"(700, 5000)","(700, 5000)",[4096]
n_estimators,2682,977,3065,3162,2951,2951,2951,2951,2766,1406,1859,1880,2617,4398,4096
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
num_leaves,"(3, 20)",[4],"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)",[19],"(3, 20)","(3, 20)",[20],"(3, 20)","(3, 20)",[13]
num_leaves,3,4,5,12,13,13,13,13,19,4,15,20,19,14,13
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.43512087648524134,0.669360545164085,1.264191256300771,2.0,1.4208586193848969,1.4208586193848969,1.4208586193848969,1.4208586193848969,2.260539929401966,1.3904549980132401,1.7854271388704102,1.2870430026952433,1.0340706630309755,1.3465396199048048,1.8028205374918091
reg_alpha,"(0.0, 4.0, 'uniform')",[0.669360545164085],"(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')",[2.260539929401966],"(0.0, 2.5, 'uniform')","(1.0, 2.5, 'uniform')",[1.2870430026952433],"(1.0, 2.5, 'uniform')","(1.0, 2.5, 'uniform')",[1.8028205374918091]
reg_lambda,"(0.0, 4.0, 'uniform')",[3.2852800520394547],"(0.0, 2.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 3.5, 'uniform')","(0.0, 3.5, 'uniform')","(0.0, 3.5, 'uniform')","(0.0, 3.5, 'uniform')",[3.4171398068654826],"(0.0, 4.5, 'uniform')","(0.0, 4.0, 'uniform')",[4.0],"(1.0, 4.0, 'uniform')","(1.0, 5.0, 'uniform')",[5.0]
