parameter,value1,value2,value3,value4,value5,value6,value7,value8
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,
colsample_bytree,0.5,0.7,0.7,0.8,0.7,0.7,0.8,0.6
importance_type,split,split,split,split,split,split,split,split
learning_rate,0.001,0.0005,0.0005,0.0005,0.0005,0.0005,0.0003,0.0005
max_depth,-1,-1,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,20,30,10,20,15,15
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1100,1200,1200,1300,1000,1200,1300,1100
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,4,5,5,4,5,5,5,5
objective,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.2,0.2,0.1,0.1,0.1,0.1,0.05,0.05
subsample_for_bin,200000,250000,250000,250000,250000,250000,230000,230000
subsample_freq,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cv,,,,,,,,
scoring,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,70,110,110,110,110,60
best_score,0.745,0.8366666666666667,0.8366666666666667,0.7933333333333333,0.8342857142857142,0.8366666666666667,0.8333333333333333,0.86
best_index,840.0,4992.0,1136.0,1632.0,816.0,880.0,480.0,66.0
acc_train,0.8251748251748252,0.7972027972027972,0.7972027972027972,0.7762237762237763,0.7902097902097902,0.7972027972027972,0.7202797202797203,0.7972027972027972
acc_val,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5555555555555556,0.5555555555555556,0.5833333333333334,0.5833333333333334,0.5555555555555556
acc_test,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5111111111111111,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6
precision,0.6363636363636364,0.8,0.8,0.5714285714285714,1.0,0.8,1.0,1.0
recall,0.30434782608695654,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.21739130434782608
f1score,0.411764705882353,0.2857142857142857,0.2857142857142857,0.26666666666666666,0.23076923076923078,0.2857142857142857,0.23076923076923078,0.3571428571428571
roc,0.5612648221343872,0.5642292490118577,0.5642292490118577,0.5187747035573123,0.5652173913043478,0.5642292490118577,0.5652173913043478,0.6086956521739131
tn,18.0,21.0,21.0,19.0,22.0,21.0,22.0,22.0
fp,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0
fn,16.0,19.0,19.0,19.0,20.0,19.0,20.0,18.0
tp,7.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0
acc_test1,0.6,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6
precision1,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
recall1,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333
f1score1,0.5714285714285714,0.3636363636363636,0.3636363636363636,0.3333333333333333,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.5
roc1,0.6388888888888888,0.6111111111111112,0.6111111111111112,0.5277777777777778,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6666666666666666
tn1,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0
fp1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fn1,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
tp1,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
acc_test2,0.4,0.4,0.4,0.3333333333333333,0.4,0.4,0.4,0.4
precision2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recall2,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1score2,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roc2,0.47222222222222227,0.5,0.5,0.4166666666666667,0.5,0.5,0.5,0.5
tn2,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0
fp2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fn2,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
tp2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acc_test3,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8
precision3,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0
recall3,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.4
f1score3,0.4444444444444445,0.5,0.5,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5714285714285715
roc3,0.6,0.65,0.65,0.65,0.6,0.65,0.6,0.7
tn3,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
fp3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
fn3,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0
tp3,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
