parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,False,False,False,True,False,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,dart,dart,gbdt,dart,dart,gbdt
class_weight,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.6188830836566857,0.561405278425246,0.5392198500069758,0.9824120679031102,0.6132262015383443,1.0
cv,3,3,3,3,3,3
cv,3,3,3,3,3,3
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true
importance_type,['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split
iterations,50,50,50,50,50,50
iterations,50,50,50,50,50,50
learning_rate,0.0007026245560133395,0.0029953134750563847,0.004,0.00024737078136754766,0.0002105997338385495,0.004
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,1000,634,545,611,797,2000
max_bin,"(100, 1000)","(100, 1000)","(100, 2000)","(100, 2000)","(100, 2000)","(100, 2000)"
max_depth,32,1,0,8,15,50
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_samples,5,40,23,14,11,5
min_child_weight,,,,,"(0.001, 10.0)","(0.001, 10.0)"
min_child_weight,0.001,0.001,0.001,0.001,8.600468428659262,8.680958710283965
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 7000)","(700, 7000)","(700, 7000)","(500, 7000)"
n_estimators,3892,700,4497,2560,700,7000
n_jobs,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98
num_col,98,98,98,98,98,98
num_leaves,20,17,18,4,3,20
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,1.5731222262036402,3.6003893987510334,1.5075546200046182,0.9070192085445237,2.0,0.26925812689533524
