parameter,iter_1,iter_2,iter_3
cv,3,3,3
iterations,50,50,50
num_col,98,98,98
scoring,precision,precision,precision
boost_from_average,True,True,True
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.5818035893192751,0.5818035893192751,0.7932238789434305
force_col_wise,true,true,true
importance_type,split,split,split
learning_rate,0.0003952711851453308,0.0003952711851453308,0.00025748871335672005
max_bin,513,513,621
max_depth,27,27,29
metric,binary_logloss,binary_logloss,binary_logloss
min_child_samples,25,25,14
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,3232,3232,1930
n_jobs,-1,-1,-1
num_leaves,13,13,11
objective,binary,binary,binary
random_state,42,42,42
reg_alpha,1.9926933510296294,1.9926933510296294,3.585663089354945
reg_lambda,3.8726966959629308,3.8726966959629308,2.1207973023458506
scale_pos_weight,0.6684512344586391,0.6684512344586391,1.4441598147995616
silent,warn,warn,warn
subsample,0.6487712293279236,0.6487712293279236,0.9521476580835052
subsample_for_bin,477471,949309,288741
subsample_freq,0,0,0
verbose,0,0,0
best_score,0.6876750700280111,0.6876750700280111,0.7135495223730518
best_index,5.0,5.0,33.0
acc_train,0.7738693467336684,0.7738693467336684,0.7939698492462312
acc_val,0.6,0.6,0.62
acc_test,0.47619047619047616,0.47619047619047616,0.47619047619047616
precision,0.4166666666666667,0.4166666666666667,0.45
recall,0.16129032258064516,0.16129032258064516,0.2903225806451613
f1score,0.2325581395348837,0.2325581395348837,0.3529411764705882
roc,0.4712701612903226,0.4712701612903226,0.4732862903225807
tn,25.0,25.0,21.0
fp,7.0,7.0,11.0
fn,26.0,26.0,22.0
tp,5.0,5.0,9.0
acc_test1,0.42857142857142855,0.42857142857142855,0.38095238095238093
precision1,0.5,0.5,0.3333333333333333
recall1,0.08333333333333333,0.08333333333333333,0.08333333333333333
f1score1,0.14285714285714285,0.14285714285714285,0.13333333333333333
roc1,0.48611111111111105,0.48611111111111105,0.4305555555555555
tn1,8.0,8.0,7.0
fp1,1.0,1.0,2.0
fn1,11.0,11.0,11.0
tp1,1.0,1.0,1.0
acc_test2,0.5238095238095238,0.5238095238095238,0.5238095238095238
precision2,0.6,0.6,0.5714285714285714
recall2,0.2727272727272727,0.2727272727272727,0.36363636363636365
f1score2,0.37499999999999994,0.37499999999999994,0.4444444444444444
roc2,0.5363636363636364,0.5363636363636364,0.5318181818181819
tn2,8.0,8.0,7.0
fp2,2.0,2.0,3.0
fn2,8.0,8.0,7.0
tp2,3.0,3.0,4.0
acc_test3,0.47619047619047616,0.47619047619047616,0.5238095238095238
precision3,0.2,0.2,0.4
recall3,0.125,0.125,0.5
f1score3,0.15384615384615385,0.15384615384615385,0.4444444444444445
roc3,0.40865384615384615,0.40865384615384615,0.5192307692307693
tn3,9.0,9.0,7.0
fp3,4.0,4.0,6.0
fn3,7.0,7.0,4.0
tp3,1.0,1.0,4.0
