parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.5,0.4
importance_type,split,split
learning_rate,0.0015,0.001
max_depth,-1,-1
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1100,1000
n_jobs,-1,-1
num_leaves,6,4
objective,binary,binary
random_state,42,42
reg_alpha,0.0,0.0
reg_lambda,0.0,0.0
silent,warn,warn
subsample,0.2,0.2
subsample_for_bin,200000,200000
subsample_freq,0,0
metric,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.5
cv,,
scoring,precision,precision
num_col,110,110
best_score,0.5899197860962567,0.5991880341880342
best_index,105.0,3.0
acc_train,0.9324324324324325,0.831081081081081
acc_val,0.5526315789473685,0.5789473684210527
acc_test,0.5957446808510638,0.6170212765957447
precision,0.6086956521739131,0.6071428571428571
recall,0.5833333333333334,0.7083333333333334
f1score,0.5957446808510638,0.6538461538461539
roc,0.5960144927536233,0.615036231884058
tn,14.0,12.0
fp,9.0,11.0
fn,10.0,7.0
tp,14.0,17.0
acc_test1,0.6,0.8
precision1,0.6666666666666666,0.8
recall1,0.6666666666666666,0.8888888888888888
f1score1,0.6666666666666666,0.8421052631578948
roc1,0.5833333333333333,0.7777777777777778
tn1,3.0,4.0
fp1,3.0,2.0
fn1,3.0,1.0
tp1,6.0,8.0
acc_test2,0.6,0.5333333333333333
precision2,0.5,0.42857142857142855
recall2,0.3333333333333333,0.5
f1score2,0.4,0.4615384615384615
roc2,0.5555555555555556,0.5277777777777778
tn2,7.0,5.0
fp2,2.0,4.0
fn2,4.0,3.0
tp2,2.0,3.0
acc_test3,0.5882352941176471,0.5294117647058824
precision3,0.6,0.5454545454545454
recall3,0.6666666666666666,0.6666666666666666
f1score3,0.631578947368421,0.6
roc3,0.5833333333333333,0.5208333333333333
tn3,4.0,3.0
fp3,4.0,5.0
fn3,3.0,3.0
tp3,6.0,6.0
