parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.872293668820899
importance_type,split
learning_rate,0.00040783886902393755
max_depth,0
min_child_samples,26
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1105
n_jobs,-1
num_leaves,12
objective,binary
random_state,
reg_alpha,0.5
reg_lambda,0.7000000000000001
silent,warn
subsample,0.40764193647046626
subsample_for_bin,398451
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,290
scale_pos_weight,0.8000000000000003
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.6411111111111111
best_index,8.0
acc_train,0.722972972972973
acc_val,0.631578947368421
acc_test,0.5531914893617021
precision,0.6363636363636364
recall,0.2916666666666667
f1score,0.4
roc,0.5588768115942029
tn,19.0
fp,4.0
fn,17.0
tp,7.0
acc_test1,0.5333333333333333
precision1,0.75
recall1,0.3333333333333333
f1score1,0.46153846153846156
roc1,0.5833333333333334
tn1,5.0
fp1,1.0
fn1,6.0
tp1,3.0
acc_test2,0.6666666666666666
precision2,1.0
recall2,0.16666666666666666
f1score2,0.2857142857142857
roc2,0.5833333333333334
tn2,9.0
fp2,0.0
fn2,5.0
tp2,1.0
acc_test3,0.47058823529411764
precision3,0.5
recall3,0.3333333333333333
f1score3,0.4
roc3,0.47916666666666663
tn3,5.0
fp3,3.0
fn3,6.0
tp3,3.0
