parameter,value1,value2,value3,value4,value5,value6
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.5,0.4,0.4,0.6,0.4,0.4
importance_type,split,split,split,split,split,split
learning_rate,0.0015,0.001,0.001,0.0005,0.0003,0.0003
max_depth,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1100,1000,900,900,900,1000
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,6,4,4,3,5,5
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.5,0,0.5
reg_lambda,0.0,0.0,0.0,1,1,1
silent,warn,warn,warn,warn,warn,warn
subsample,0.2,0.2,0.2,0.1,0.1,0.1
subsample_for_bin,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.5,1.5,1.0,1.0,1.0
cv,,,,,,
scoring,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,30,110
best_score,0.5899197860962567,0.5991880341880342,0.5991880341880342,0.7119047619047618,0.9333333333333332,0.8
best_index,105.0,3.0,393.0,12990.0,120.0,354.0
acc_train,0.9324324324324325,0.831081081081081,0.8378378378378378,0.7635135135135135,0.6621621621621622,0.6824324324324325
acc_val,0.5526315789473685,0.5789473684210527,0.5789473684210527,0.6842105263157895,0.631578947368421,0.5526315789473685
acc_test,0.5957446808510638,0.6170212765957447,0.6170212765957447,0.5957446808510638,0.5531914893617021,0.5531914893617021
precision,0.6086956521739131,0.6071428571428571,0.6071428571428571,0.6923076923076923,1.0,1.0
recall,0.5833333333333334,0.7083333333333334,0.7083333333333334,0.375,0.125,0.125
f1score,0.5957446808510638,0.6538461538461539,0.6538461538461539,0.48648648648648646,0.2222222222222222,0.2222222222222222
roc,0.5960144927536233,0.615036231884058,0.615036231884058,0.6005434782608696,0.5625,0.5625
tn,14.0,12.0,12.0,19.0,23.0,23.0
fp,9.0,11.0,11.0,4.0,0.0,0.0
fn,10.0,7.0,7.0,15.0,21.0,21.0
tp,14.0,17.0,17.0,9.0,3.0,3.0
acc_test1,0.6,0.8,0.8,0.7333333333333333,0.5333333333333333,0.5333333333333333
precision1,0.6666666666666666,0.8,0.8,1.0,1.0,1.0
recall1,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.2222222222222222
f1score1,0.6666666666666666,0.8421052631578948,0.8421052631578948,0.7142857142857143,0.3636363636363636,0.3636363636363636
roc1,0.5833333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6111111111111112,0.6111111111111112
tn1,3.0,4.0,4.0,6.0,6.0,6.0
fp1,3.0,2.0,2.0,0.0,0.0,0.0
fn1,3.0,1.0,1.0,4.0,7.0,7.0
tp1,6.0,8.0,8.0,5.0,2.0,2.0
acc_test2,0.6,0.5333333333333333,0.5333333333333333,0.6,0.6,0.6
precision2,0.5,0.42857142857142855,0.42857142857142855,0.5,0.0,0.0
recall2,0.3333333333333333,0.5,0.5,0.16666666666666666,0.0,0.0
f1score2,0.4,0.4615384615384615,0.4615384615384615,0.25,0.0,0.0
roc2,0.5555555555555556,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.5,0.5
tn2,7.0,5.0,5.0,8.0,9.0,9.0
fp2,2.0,4.0,4.0,1.0,0.0,0.0
fn2,4.0,3.0,3.0,5.0,6.0,6.0
tp2,2.0,3.0,3.0,1.0,0.0,0.0
acc_test3,0.5882352941176471,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.5294117647058824
precision3,0.6,0.5454545454545454,0.5454545454545454,0.5,1.0,1.0
recall3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.1111111111111111
f1score3,0.631578947368421,0.6,0.6,0.4,0.19999999999999998,0.19999999999999998
roc3,0.5833333333333333,0.5208333333333333,0.5208333333333333,0.47916666666666663,0.5555555555555556,0.5555555555555556
tn3,4.0,3.0,3.0,5.0,8.0,8.0
fp3,4.0,5.0,5.0,3.0,0.0,0.0
fn3,3.0,3.0,3.0,6.0,8.0,8.0
tp3,6.0,6.0,6.0,3.0,1.0,1.0
